NL Query,SQL Query,Results Verbalisation,Source,Query Type,Number of Columns,Result Rows,Has Lengthy Column,Has abbreviation,Has grammar error in NL Query
Find institutions from the region of Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',The institution Aalborg Universitet is from the region of Nordjylland,"<query> Find institutions from the region of Nordjylland <table> institutions, eu_territorial_units <col0> institutions institutions_name | STRING | Aalborg Universitet <col1> eu_territorial_units description | STRING | Nordjylland",JOIN,2,>1,0,0,0
Show me topic titles which contain the word 'climate',select title from topics where title like '%climate%',"Water cycle under future climate is a topic with the word ""climate""",<query> Show me topic titles which contain the word 'climate' <table> topics <col0> title | STRING | Water cycle under future climate,SELECT,1,>1,0,0,0
Show me the country name of all institutes.,select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,The country name is Switzerland,"<query> Show me the country name of all institutes. <table> countries, institutions <col0> countries country_name | STRING | Switzerland",JOIN,1,>1,0,0,0
Show the title of the project with the highest total cost,Select p.title from projects as p where total_cost = (select max(p2.total_cost) from projects as p2),The project with the highest total cost is 856961937.57,<query> Show the title of the project with the highest total cost <table> projects <col0> title | STRING | Implementation of activities described in the Roadmap to Fusion during Horizon 2020 through a Joint programme of the members of the EUROfusion consortium <col1> total_cost | NUMERIC | 856961937.57,"NESTED, AGGR",2,1,1,0,0
Show me topic titles which starts with 'Raw materials',select title from topics where title like 'Raw materials%',"Raw materials partnerships is a topics that starts with ""Raw materials""",<query> Show me topic titles which starts with 'Raw materials' <table> topics <col0> title | STRING | Raw materials partnerships,SELECT,1,>1,0,0,0
Show me the full title of the program which is called 'Transport' in short.,select title from programmes where short_name = 'Transport',"The program SOCIETAL CHALLENGES - Smart, Green And Integrated Transport has the title Transport.","<query> Show me the full title of the program which is called 'Transport' in short. <table> programmes <col0> title | STRING | SOCIETAL CHALLENGES - Smart, Green And Integrated Transport <col1> short_name | STRING | Transport",SELECT,2,1,1,0,0
What is the country code 2 and country code 3 for Andorra?,"select country_code2, country_code3 from countries where country_name = 'Andorra'",The country code 2 and country code 3 for Andorra is AD and the country code 3 is AND.,<query> What is the country code 2 and country code 3 for Andorra? <table> countries <col0> country_name | STRING | Andorra <col1> country_code2 | STRING | AD <col2> country_code3 | STRING | AND,SELECT,3,1,0,1,0
Find the total cost of the project Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',The project Theseus has a total cost of 71429,<query> Find the total cost of the project Theseus <table> projects <col0> title | STRING | Theseus <col1> total_cost | NUMERIC | 71429,SELECT,2,>1,0,0,0
Show the acronym of projects with a member from Greece,Select p.acronym from projects as p join project_members as pm on p.unics_id = pm.project join institutions as i on pm.institution_id = i.unics_id join countries as c on i.country_id = c.unics_id where c.country_name = 'Greece',The project with acronym RETENTION is from Greece.,"<query> Show the acronym of projects with a member from Greece <table> projects, project_members, institutions, countries <col0> projects acronym | STRING | RETENTION <col1> countries country_name | STRING | Greece",JOIN,2,>1,0,0,0
Show the project title and member name where the member has a partner role,"""select title, member_name from projects as p join project_members as pm on p.unics_id = pm.project join project_member_roles as pmr on pm.member_role = pmr.code where pmr.code = 'partner'",The member named ASSOCIATION MOBSYA has a partner role in the project title Advancing intuitive human-machine interaction with human-like social capabilities for education in schools,"<query> Show the project title and member name where the member has a partner role <table> projects, project_members, project_member_roles <col0> title | STRING | Advancing intuitive human-machine interaction with human-like social capabilities for education in schools <col1> member_name | STRING | ASSOCIATION MOBSYA <col2> project_member_roles code | STRING | partner",JOIN,3,1,1,0,0
Show the name of institutions based in Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',The institution Aalborg Universitet is in Nordjylland.,"<query> Show the name of institutions based in Nordjylland <table> institutions, eu_territorial_units <col0> institutions institutions_name | STRING | Aalborg Universitet <col1> eu_territorial_units description | STRING | Nordjylland",JOIN,2,>1,0,1,0
Find the role of ATHENA in project ARGOS,SELECT T1.member_role FROM project_members AS T1 JOIN projects AS T2 ON T1.project = T2.unics_id JOIN institutions AS T3 ON T3.unics_id = T1.institution_id  WHERE T2.acronym like 'ARGOS' and T3.institutions_name like '%ATHENA%,The participant role of ATHENA GS3-SECURITY IMPLEMENTS LTD is in project ARGOS.,"<query> Find the role of ATHENA in project ARGOS <table> project_members, projects, institutions <col0> projects acronym | STRING | ARGOS <col1> project_members member_role | STRING | participant <col2> institutions institutions_name | STRING | ATHENA GS3-SECURITY IMPLEMENTATIONS LTD",JOIN,3,1,0,1,0
Count the projects that started in 2016,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',There are 4955 projects that started in 2016.,<query> Count the projects that started in 2016 <table> projects <col0> count of projects | NUMERIC | 4955,JOIN,1,1,0,0,0
Find the acronym of projects which have total costs between 100000 and 200000,select p.acronym from projects as p where p.total_cost between 100000 and 200000,The acronym FFABFORCE has total costs of 173076,<query> Find the acronym of projects which have total costs between 100000 and 200000 <table> projects <col0> acronym | STRING | FFABFORCE <col1> total_cost | NUMERIC | 173076,SELECT,2,>1,0,1,0
Show names of institutions which are not from France,Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name != 'France',Shire International GmbH is in Switzerland.,"<query> Show names of institutions which are not from France <table> institutions, countries <col0> countries country_name | STRING | Switzerland <col1> institutions institutions_name | STRING | Shire International GmbH",JOIN,2,>1,0,1,0
Show the total costs of all projects,SELECT sum(total_cost) FROM projects,The total cost is 144808707894.03223,<query> Show the total costs of all projects <table> projects <col0> sum of total_cost | NUMERIC | 144808707894.03223,AGGR,1,1,0,0,0
Show me the all different names of people,select distinct full_name from people,Zsuzsanna Izsvák is a person.,<query> Show me the all different names of people <table> people <col0> full_name | STRING | Zsuzsanna Izsvák,AGGR,1,>1,0,0,0
How many projects have an objective which contains 'carbon capturing'?,select count(*) from projects where objective like '%carbon capturing%',There is 1 project.,<query> How many projects have an objective which contains 'carbon capturing'? <table> projects <col0> count of projects | NUMERIC | 1,SELECT,1,1,0,0,0
Get acronyms of projects beginning in 2018,SELECT acronym FROM projects WHERE start_year = 2018,The acronym INSPiRE is from 2018,<query> Get acronyms of projects beginning in 2018 <table> projects <col0> acronym | STRING | INSPiRE <col1> start_year | NUMERIC | 2018,AGGR,2,>1,0,1,0
Find the name of principal investigators in projects that started in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,Jonathan Gershuny started in 2014,"<query> Find the name of principal investigators in projects that started in 2014 <table> projects, people <col0> people full_name | STRING | Jonathan Gershuny <col1> projects start_year | NUMERIC | 2014",SELECT,2,>1,0,0,0
erc panels and sum of project ec max contribution ordered descending,"SELECT T1.code, SUM(T2.ec_max_contribution) FROM erc_panels AS T1 JOIN project_erc_panels AS T3 ON T1.code = T3.panel JOIN projects AS T2 on T3.project = T2.unics_id GROUP BY T1.code ORDER BY SUM(T2.ec_max_contribution)",The sum of project ec max contribution ordered descending is 427317407.61,"<query> erc panels and sum of project ec max contribution ordered descending <table> erc_panels, project_erc_panels, projects <col0> erc_panels code | STRING | SH1 <col1> sum of ec_max_contribution | NUMERIC | 427317407.61","GROUP BY, JOIN",2,>1,0,1,1
Show me the country of all institutes.,select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,The country of all institutes is Switzerland,"<query> Show me the country of all institutes. <table> countries, institutions <col0> countries country_name | STRING | Switzerland",JOIN,1,>1,0,0,0
What different research domains do exist?,select distinct description from erc_research_domains,The research domain is Social Sciences And Humanities,<query> What different research domains do exist? <table> erc_research_domains <col0> description | STRING | Social Sciences And Humanities,SELECT,1,>1,0,0,0
What is the objective of DEEPCARBON?,select objective from projects where acronym = 'DEEPCARBON',"The goal of the project ""DEEPCARBON"" is how exogene carbon is recycled into the deeper earth via subduction of altered, carbonated, mafic oceanic crust. We aim to use ultrahigh-pressure experimental petrology","<query> What is the objective of DEEPCARBON? <table> projects <col0> acronym | STRING | DEEPCARBON <col1> objective | STRING | The key aspect of the Earth’s deep carbon cycle is how exogene carbon is recycled into the deeper earth via subduction of altered, carbonated, mafic oceanic crust. We aim to use ultrahigh-pressure experimental petrology to investigate the behaviour of subducted carbonate at pressures corresponding to the deep upper mantle, the mantle transition zone and the uppermost lower mantle. Earlier experimental studies showed that some residual crystalline carbonate in oceanic crust remains stable in subducting oceanic crust without decarbonation or melting, and may be transported to very deep levels in the mantle. It may form carbonate eclogite in the upper mantle and carbonate garnetite in the transition zone and uppermost lower mantle. How far carbon can survive this journey to extreme depths depends on the relationship between the pressure-temperature path followed by deeply subducting carbonated oceanic crust and its melting relations and solidus temperatures. We aim to use multi-anvil experimentation at the University of Bristol to determine melting relations in the deep upper mantle, transition zone, and uppermost lower mantle (9-21 GPa) of carbonate eclogite. We will explore the influences of pressure, temperature, oxygen fugacity and key bulk compositional variables such as Na2O/CO2 on very deep subduction of carbonate and on the volumes and compositions, and fates of carbonated partial melts. Fundamental research outcomes will include understanding of (1) the role of bulk composition in determining melting temperatures of deeply subducted, carbonate-bearing oceanic crust, and hence how deep carbonate melting can occur (2) how these carbonate melts interact with surrounding ambient peridotite mantle and what sort of geochemical sources and deeply derived magmas/fluids could be so generated (kimberlites, carbonatites, CH4-fluids), and (3) the formation of sublithospheric diamonds and their mineral inclusion suites.",SELECT,2,1,1,1,0
Show the acronym and subject area description of projects with subject area “Mathematics and Statistics”,"SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'",The subject area description of projects with subject area VISION is Mathematics and Statistics,"<query> Show the acronym and subject area description of projects with subject area “Mathematics and Statistics” <table> projects, project_subject_areas, subject_areas <col0> t1 acronym | STRING | VISION <col1> subject_areas title | STRING | Mathematics and Statistics <col2> subject_areas description | STRING | Mathematical theory; statistical analysis; operational research; numerical analysis; mathematical modelling. (See also application area)",JOIN,3,1,1,1,0
Find titles of projects which started earlier than 2016,SELECT title FROM projects WHERE start_year < 2016,Enabling the interoperability of cytometric data – a novel bioinformatics approach for revealing systems level understanding of cell cycle dynamics started in 2010.,<query> Find titles of projects which started earlier than 2016 <table> projects <col0> title | STRING | Enabling the interoperability of cytometric data – a novel bioinformatics approach for revealing systems level understanding of cell cycle dynamics <col1> start_year | NUMERIC | 2010,SELECT,2,>1,1,0,0
"count projects per country with programme short name ""Science with and for Society""","SELECT T5.country_name, count(distinct T1.unics_id) FROM projects AS T1 JOIN project_members AS T2 ON T1.unics_id = T2.project JOIN project_programmes AS T14 ON T1.unics_id = T14.project JOIN programmes AS T3 ON T14.programme = T3.code JOIN institutions AS T4 ON T4.unics_id = T2.institution_id JOIN countries AS T5 ON T5.unics_id = T4.country_id WHERE T3.short_name like '%Science with and for Society%' GROUP BY T5.country_name",Armenia has 1 project.,"<query> count projects per country with programme short name ""Science with and for Society"" <table> projects, project_members, project_programmes, programmes, institutions, countries <col0> count of projects | NUMERIC | 1 <col1> countries country_name | STRING | Armenia","GROUP BY, JOIN",2,>1,0,0,0
Find distinct titles of topics of projects that with end year 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,"ERC Starting Grant - Evolutionary, population and environmental biology has a subject that ended in 2014.","<query> Find distinct titles of topics of projects that with end year 2014 <table> projects, project_topics, topics <col0> title | STRING | ERC Starting Grant - Evolutionary, population and environmental biology <col1> t1 end_year | NUMERIC | 2014",JOIN,2,>1,1,1,0
Get names of project members who's activity type description is Research Organisations,select member_name from project_members as mb join activity_types as a on a.code = mb.activity_type where a.description = 'Research Organisations',The member name is INNORENEW COE CENTER ODLICNOSTI ZA RAZISKAVE IN INOVACIJE NA PODROCJU OBNOVLJIVIH MATERIALOV IN ZDRAVEGA OKOLJA,"<query> Get names of project members who's activity type description is Research Organisations <table> project_members, activity_types <col0> member_name | STRING | INNORENEW COE CENTER ODLICNOSTI ZA RAZISKAVE IN INOVACIJE NA PODROCJU OBNOVLJIVIH MATERIALOV IN ZDRAVEGA BIVANJSKEGA OKOLJA <col1> activity_types description | STRING | Research Organisations",JOIN,2,>1,1,0,0
"For countries that have more than 100 project members show the name of the country, the number of cities and the number of institutions","SELECT COUNT(institutions.name), COUNT(project_members.city), countries.name
FROM project_members
JOIN institutions ON institutions.unics_id = project_members.institution_id
JOIN countries ON countries.unics_id = institutions.country_id
GROUP BY countries.name
HAVING COUNT(project_members.city) > 100;",Argentina has 355 project members.,"<query> For countries that have more than 100 project members show the name of the country, the number of cities and the number of institutions <table> project_members, institutions, countries <col0> count of institutions | NUMERIC | 355 <col1> count of project_members | NUMERIC | 355 <col2> countries name | STRING | Argentina","AGGR, JOIN, GROUP BY",3,>1,0,,0
"For each project member show the city, country and institution name","SELECT institutions.name, countries.name, project_members.city
FROM project_members
JOIN institutions ON institutions.unics_id = project_members.institution_id
JOIN countries ON countries.unics_id = institutions.country_id",The project member city of Cardiff University in United Kingdom is CARDIFF.,"<query> For each project member show the city, country and institution name <table> project_members, institutions, countries <col0> institutions name | STRING | Cardiff University <col1> countries name | STRING | United Kingdom <col2> project_members city | STRING | CARDIFF",JOIN,3,>1,0,0,0
Find all different topics of projects that ended in 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,"The project ERC Starting Grant - Evolutionary, Population and Environmental Biology ended in 2014","<query> Find all different topics of projects that ended in 2014 <table> projects, project_topics, topics <col0> title | STRING | ERC Starting Grant - Evolutionary, population and environmental biology <col1> t1 end_year | NUMERIC | 2014",JOIN,2,>1,0,1,0
Show me the title of projects which have an end year and a start year after 2006,select title from projects where start_year > 2006 and end_year > 2006,The project High level Integrated SEnsor for NanoToxicity Screening has an end year of 2019 and started in 2016.,<query> Show me the title of projects which have an end year and a start year after 2006 <table> projects <col0> title | STRING | High level Integrated SEnsor for NanoToxicity Screening <col1> end_year | NUMERIC | 2019 <col2> start_year | NUMERIC | 2016,SELECT,3,>1,0,0,0
Show me the number of projects where Thomas Bell was principal investigator,select count(*) from projects as p join people as peep on p.principal_investigator = peep.unics_id where peep.full_name = 'Thomas Bell',There is 1 project where Thomas Bell was principal investigator.,"<query> Show me the number of projects where Thomas Bell was principal investigator <table> projects, people <col0> count of projects and people | NUMERIC | 1",AGGR,1,1,0,0,0
Show me the acronyms of projects that started in 2018,SELECT acronym FROM projects WHERE start_year = 2018,The acronym INSPiRE is from 2018,<query> Show me the acronyms of projects that started in 2018 <table> projects <col0> acronym | STRING | INSPiRE <col1> start_year | NUMERIC | 2018,SELECT,2,>1,0,1,0
Find the code of the funding scheme for Framework Partnership Agreement,select code from funding_schemes where title = 'Framework Partnership Agreement',The funding scheme for the Framework Partnership Agreement is FPA,<query> Find the code of the funding scheme for Framework Partnership Agreement <table> funding_schemes <col0> code | STRING | FPA <col1> title | STRING | Framework Partnership Agreement,SELECT,2,1,0,1,0
Get panel descriptions from research domain life sciences,select p.description from erc_panels as p join erc_research_domains as erd on p.part_of = erd.code where erd.description = 'Life Sciences',"The erc_panels description is Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics and Molecular Biophysics and the research domain is Life Sciences","<query> Get panel descriptions from research domain life sciences <table> erc_panels, erc_research_domains <col0> erc_panels description | STRING | Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics <col1> erc_research_domains description | STRING | Life Sciences",JOIN,2,1,1,1,0
Find member name and role code of project members in project with acronym GTBB,"select pm.member_name, pr.code from project_members as pm join projects as p on pm.project = p.unics_id join project_member_roles as pr on pm.member_role = pr.code where p.acronym = 'GTBB'","The member name is ""The CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD"" and the role code is ""GreekBB""","<query> Find member name and role code of project members in project with acronym GTBB <table> project_members, projects, project_member_roles <col0> projects acronym | STRING | GTBB <col1> project_member_roles code | STRING | coordinator <col2> project_members member_name | STRING | THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",JOIN,3,>1,1,1,0
